iter	RMSE
0	1.580015297
1	1.511023213
2	1.451181449
3	1.387082753
4	1.330668178
5	1.276625972
6	1.225021689
7	1.176827246
8	1.131428975
9	1.089309015
10	1.049739186
11	1.011416497
12	0.9750801642
13	0.9399013816
14	0.908409263
15	0.8798927087
16	0.8522250633
17	0.8248586587
18	0.7985234128
19	0.7734297108
20	0.7513015652
21	0.7290229264
22	0.7086173681
23	0.6882751282
24	0.6708247782
25	0.6533328832
26	0.6373491681
27	0.6216956216
28	0.6087921291
29	0.5959805921
30	0.5833792648
31	0.5715905067
32	0.5604929052
33	0.5493648507
34	0.5392488007
35	0.5313488156
36	0.5234771804
37	0.515993652
38	0.5083064633
39	0.5008705613
40	0.4935470238
41	0.4873702428
42	0.4807456648
43	0.4748852664
44	0.4701862216
45	0.4640758558
46	0.4589906335
47	0.4546006096
48	0.4500292235
49	0.4459148747
50	0.4423887781
51	0.4381142168
52	0.4345428999
53	0.4311003771
54	0.4277706155
55	0.4243617711
56	0.4213960233
57	0.418417516
58	0.4157644197
59	0.4132630858
60	0.4108618071
61	0.4085289421
62	0.4065451977
63	0.4045353862
64	0.4026493782
65	0.4008885304
66	0.3990759339
67	0.3971301199
68	0.3952367693
69	0.3931343395
70	0.3904960277
71	0.3885617033
72	0.3870542927
73	0.3856200952
74	0.3844159042
75	0.3831687072
76	0.3819558173
77	0.3800987895
78	0.3787259578
79	0.3771353469
80	0.3758288808
81	0.3738204538
82	0.3725850122
83	0.3713517699
84	0.370276013
85	0.3691623441
86	0.368344766
87	0.3674055386
88	0.3665322928
89	0.365816041
90	0.3647786542
91	0.3640465112
92	0.3629670586
93	0.361842358
94	0.3611094822
95	0.3601722387
96	0.3595171927
97	0.3589291967
98	0.3569451209
99	0.356377978
100	0.355768949
101	0.3551261916
102	0.3534165549
103	0.351411722
104	0.3509224445
105	0.34987495
106	0.349339858
107	0.3483219454
108	0.3476986293
109	0.346255565
110	0.3457605421
111	0.3440778027
112	0.3425062353
113	0.3420426604
114	0.3410128862
115	0.3406706382
116	0.3402259524
117	0.3395859248
118	0.3389844131
119	0.3384472118
120	0.3379401941
121	0.3374140241
122	0.3366308406
123	0.3359803443
124	0.3354925766
125	0.3351075794
126	0.3343397071
127	0.3335458514
128	0.3317985238
129	0.3311977489
130	0.3308124781
131	0.3300640363
132	0.3292675365
133	0.3287616123
134	0.328395731
135	0.3279167238
136	0.3275069282
137	0.3269912321
138	0.3263111775
139	0.3256272965
140	0.3246057231
141	0.3230462639
142	0.3223537752
143	0.3215822842
144	0.3207256719
145	0.3191919384
146	0.3181638569
147	0.3169951884
148	0.3157557219
149	0.3155206831
150	0.3151907558
151	0.3145962978
152	0.313618719
153	0.3130594373
154	0.3123277706
155	0.3115309054
156	0.3106809398
157	0.3098631913
158	0.3087956519
159	0.3081742416
160	0.3077945418
161	0.3070679851
162	0.3058510963
163	0.3055158935
164	0.3050516507
165	0.3043471435
166	0.3039853644
167	0.3033084229
168	0.3028665773
169	0.3015153097
170	0.300946092
171	0.3003743563
172	0.2992927211
173	0.2989876212
174	0.2983860263
175	0.2975435392
176	0.2972671525
177	0.2965681948
178	0.2961910125
179	0.2952057678
180	0.2944483957
181	0.2938691455
182	0.2932905388
183	0.2926257476
184	0.2921257729
185	0.2910314957
186	0.2901267538
187	0.2893599588
188	0.2889745344
189	0.2884584129
190	0.2879057135
191	0.2870412558
192	0.2863079203
193	0.2851826427
194	0.2847194387
195	0.2839197396
196	0.2829301857
197	0.282209944
198	0.2817313953
199	0.2807711399
200	0.2805691897
201	0.2800490078
202	0.2798176653
203	0.2790367665
204	0.2784312378
205	0.2775539556
206	0.2769963127
207	0.2766440281
208	0.2761610263
209	0.2752361199
210	0.2746119999
211	0.2740375194
212	0.2734373098
213	0.272965798
214	0.2725231742
215	0.2720933751
216	0.2716690726
217	0.2711534251
218	0.2706248909
219	0.2701413409
220	0.2696873407
221	0.2691970779
222	0.2688016616
223	0.2683850149
224	0.2676755462
225	0.2673466895
226	0.2667132785
227	0.2661290972
228	0.265713223
229	0.2653277861
230	0.265138466
231	0.2649309662
232	0.2643730323
233	0.2639938474
234	0.2634293637
235	0.2628895576
236	0.2625496747
237	0.2621605552
238	0.2618948083
239	0.2614149891
240	0.2610546018
241	0.2604652122
242	0.2595167334
243	0.2591256308
244	0.2583781286
245	0.2580331932
246	0.2572842799
247	0.2569245519
248	0.2565749796
249	0.2559456788
250	0.2553432768
251	0.2549571459
252	0.2546924983
253	0.2544482481
254	0.2538153578
255	0.2533715505
256	0.2530881992
257	0.2527217766
258	0.2523932256
259	0.2522189086
260	0.2517336582
261	0.2515227817
262	0.2509148086
263	0.2506756532
264	0.2503574305
265	0.2499334939
266	0.2495285035
267	0.249353038
268	0.248957371
269	0.2486474103
270	0.2484312259
271	0.2480870809
272	0.2477962104
273	0.2475019197
274	0.2471392268
275	0.2469564633
276	0.2465505435
277	0.2460883919
278	0.2457293738
279	0.2455613544
280	0.2453447658
281	0.2449389396
282	0.2444096593
283	0.2440154138
284	0.2437033986
285	0.2431757464
286	0.2430463118
287	0.2428688885
288	0.2424229709
289	0.2422162257
290	0.2419899626
291	0.2417844905
292	0.2415341854
293	0.2410472937
294	0.2407051215
295	0.2404028097
296	0.2402081452
297	0.2398054549
298	0.2394994969
299	0.2392162967
300	0.2390430527
301	0.2388401489
302	0.2384586452
303	0.2381819759
304	0.2379206196
305	0.2374957029
306	0.2371399371
307	0.2368773096
308	0.2364187362
309	0.2361503258
310	0.2358513619
311	0.2355113404
312	0.2353529448
313	0.2347758241
314	0.2344940271
315	0.2341713688
316	0.2337053325
317	0.2335591884
318	0.2332886775
319	0.2330258392
320	0.2326807991
321	0.2322662618
322	0.2316568994
323	0.2313537149
324	0.2311745078
325	0.2307654037
326	0.2305182565
327	0.2303800207
328	0.2299950133
329	0.2297439833
330	0.2293888741
331	0.2291668134
332	0.2288905844
333	0.2286149035
334	0.2282215304
335	0.2280699478
336	0.2279085564
337	0.227739333
338	0.2275332201
339	0.2270739841
340	0.2267420151
341	0.2265020582
342	0.2262763833
343	0.2260890846
344	0.2259457784
345	0.2257743171
346	0.225592374
347	0.2253464037
348	0.2250867945
349	0.2247632778
350	0.224616986
351	0.2244262309
352	0.2242883067
353	0.224122772
354	0.2238920275
355	0.2236690748
356	0.2235205956
357	0.2232380423
358	0.2228407736
359	0.2226842551
360	0.2224004641
361	0.2222185736
362	0.221925684
363	0.2217669169
364	0.2213728738
365	0.2211673345
366	0.2209803695
367	0.2208267502
368	0.2205405318
369	0.2202696796
370	0.2201332232
371	0.220031924
372	0.2199342361
373	0.219686646
374	0.2195198581
375	0.2192388325
376	0.2189961268
377	0.2188350111
378	0.2186461263
379	0.2184379055
380	0.2182460801
381	0.2180845423
382	0.2178668841
383	0.217680073
384	0.2174821028
385	0.2172923454
386	0.2171192013
387	0.2169947968
388	0.2167201775
389	0.216505779
390	0.2163807537
391	0.2162220508
392	0.2160817227
393	0.2158798287
394	0.2156838239
395	0.2154401132
396	0.2153104355
397	0.2150237225
398	0.2147962251
399	0.2145687476
400	0.2144160443
401	0.2142764151
402	0.21406597
403	0.2138383032
404	0.2136287781
405	0.2133928853
406	0.2131172229
407	0.2128716251
408	0.2125205483
409	0.2123612924
410	0.2122159285
411	0.212070151
412	0.2119185954
413	0.211775094
414	0.2116186369
415	0.2113672744
416	0.2111514774
417	0.2109039081
418	0.2107761377
419	0.2106492974
420	0.2104882293
421	0.2103300372
422	0.2100702675
423	0.2097750475
424	0.2096037958
425	0.209521606
426	0.209380679
427	0.2092273534
428	0.2090605944
429	0.2089705653
430	0.2087449695
431	0.2085920077
432	0.2084161421
433	0.2081997472
434	0.2078982501
435	0.2077519209
436	0.2075894805
437	0.2074591985
438	0.2073545467
439	0.2071416485
440	0.2069112784
441	0.2067388947
442	0.2066449076
443	0.20653643
444	0.2063170097
445	0.2062110261
446	0.2060586535
447	0.2058085517
448	0.205726678
449	0.2056112794
450	0.205486346
451	0.2053093503
452	0.2050069232
453	0.2048120992
454	0.204702691
455	0.2045764942
456	0.2042971215
457	0.2041553139
458	0.2040048152
459	0.2038373732
460	0.2036871462
461	0.2034856819
462	0.2032555
463	0.2031266826
464	0.2029974294
465	0.2028209815
466	0.2027390104
467	0.2025532043
468	0.2024478904
469	0.2023616287
470	0.2022294396
471	0.2020485799
472	0.2018146259
473	0.2017352917
474	0.2015311755
475	0.2014609683
476	0.2013307608
477	0.2012051325
478	0.2010625228
479	0.2009520514
480	0.2008880553
481	0.2006409049
482	0.2005134481
483	0.200395919
484	0.2003097472
485	0.2001654756
486	0.199980597
487	0.1999277866
488	0.1997590874
489	0.1995638686
490	0.1994562984
491	0.1992908295
492	0.1991304532
493	0.1990118622
