iter	Passed	Remaining
0	11	11173
1	15	7789
2	17	5848
3	19	4829
4	21	4277
5	23	3855
6	24	3540
7	26	3307
8	31	3431
9	33	3288
10	34	3141
11	37	3049
12	39	2967
13	41	2889
14	43	2826
15	44	2760
16	46	2711
17	49	2704
18	53	2764
19	55	2714
20	57	2668
21	58	2621
22	60	2582
23	62	2546
24	64	2509
25	66	2483
26	68	2458
27	70	2443
28	72	2410
29	73	2382
30	75	2353
31	76	2325
32	79	2319
33	80	2295
34	82	2271
35	86	2325
36	89	2335
37	91	2319
38	93	2304
39	95	2291
40	97	2279
41	99	2276
42	103	2302
43	105	2285
44	107	2272
45	108	2256
46	110	2243
47	112	2225
48	113	2211
49	117	2240
50	119	2230
51	121	2220
52	124	2217
53	126	2210
54	128	2200
55	129	2187
56	131	2175
57	133	2164
58	135	2153
59	136	2143
60	138	2133
61	140	2122
62	142	2113
63	144	2106
64	146	2111
65	148	2102
66	150	2093
67	151	2082
68	153	2072
69	158	2099
70	159	2091
71	163	2102
72	165	2104
73	167	2095
74	169	2092
75	171	2084
76	173	2076
77	175	2072
78	178	2085
79	181	2085
80	183	2079
81	185	2072
82	186	2064
83	188	2056
84	191	2057
85	197	2099
86	201	2111
87	203	2108
88	205	2102
89	207	2095
90	209	2091
91	212	2093
92	215	2098
93	219	2117
94	221	2113
95	223	2106
96	226	2108
97	228	2102
98	230	2099
99	232	2094
100	234	2088
101	236	2083
102	239	2084
103	241	2081
104	243	2074
105	244	2065
106	246	2057
107	248	2049
108	249	2042
109	251	2037
110	253	2031
111	256	2036
112	258	2031
113	260	2023
114	262	2016
115	264	2014
116	265	2006
117	267	1998
118	268	1990
119	270	1983
120	272	1979
121	274	1973
122	276	1968
123	277	1962
124	279	1955
125	280	1947
126	282	1940
127	283	1932
128	285	1925
129	286	1919
130	288	1916
131	290	1910
132	295	1924
133	296	1917
134	298	1911
135	299	1905
136	302	1907
137	305	1905
138	307	1902
139	308	1895
140	309	1888
141	311	1881
142	313	1880
143	315	1875
144	316	1868
145	319	1866
146	320	1860
147	321	1853
148	323	1846
149	325	1842
150	327	1840
151	328	1835
152	330	1828
153	331	1821
154	332	1814
